comment,comment_type
In what year was the Main Building at Notre Dame razed in a fire?,0
Who was the president of Notre Dame in 1879?,0
On what date was the rebuilding of The Main Building begun at Notre Dame after the fire that claimed the previous?,0
What was the music hall at Notre Dame called?,0
What did the Science Hall at Notre Dame come to be known as?,0
"In 1919 a new president of Notre Dame was named, who was it?",0
Over how many years did the change to national standards undertaken at Notre Dame in the early 20th century take place?,0
What type of education was pushed at Notre Dame before its embracing of national standards?,0
Those who attended a Jesuit college may have been forbidden from joining which Law School due to the curricula at the Jesuit institution?,0
Which college did Notre Dame add in 1921?,0
"The Notre Dame football team got a new head coach in 1918, who was it?",0
What was the amount of wins Knute Rockne attained at Notre Dame while head coach?,0
How many years was Knute Rockne head coach at Notre Dame?,0
How many national titles were won when Knute Rockne coached at Notre Dame?,0
In what year did the team lead by Knute Rockne win the Rose Bowl?,0
"Catholic people identified with Notre Dame, what religious group did people feel Yale represented?",0
Notre Dame students had a showdown in 1924 with which anti-catholic group?,0
What type of event did the Klan intend to have at Notre Dame in March of 1924?,0
Where did Notre Dame students and the KKK have their encounter?,0
Which college president of Notre Dame is credited with preventing more confrontations between students and the KKK?,0
Which person became vice-president of Notre Dame in 1933?,0
Who was the president of Notre Dame in 1934?,0
Irvin Abell was given what award by Notre Dame?,0
Which year was the Laetare Medal first given out at Notre Dame?,0
For whos glory did Father O'Hara believed that the Notre Dame football team played?,0
Which president did Notre Dame have in 1947?,0
Around the time that Rev. Cavanaugh became president of Notre Dame by how much did the undergrad student body of Notre Dame increase?,0
Which institute involving animal life did Cavanaugh create at Notre Dame?,0
"Outside of an institute studying animals, what other institute did Cavanugh create at Notre Dame?",0
What is O'Shaughnessy Hall of Notre Dame formerly known as?,0
What was the lifespan of Theodore Hesburgh?,0
During what years was Theodor Hesburgh president of Notre Dame?,0
In the time that Hesburgh was president of Notre Dame by what factor did the operating budget increase?,0
What was the size of the Notre Dame endowment when Theodore Hesburgh became president?,0
How many faculty members were at Notre Dame when Hesburgh left the role of president?,0
What type of educational institute is Hesburgh given credit for creating at Notre Dame?,0
With what institute did Notre Dame agree to an exchange program in the 1960s?,0
Which role did Charles Sheedy have at Notre Dame?,0
What title did Thomas Blantz have at Notre Dame?,0
In what year did Notre Dame have its earliest undergraduate that was female?,0
During what years was Edward Malloy president of Notre Dame?,0
The amount of professors at Notre Dame increased by what amount under Malloy?,0
"What was the SAT score, on average, at Notre Dame when Edward Malloy became president?",0
When Malloy became president of Notre Dame what was the size of the endowment?,0
When Malloy reached the end of his time as president how much annuals funding for research did Notre Dame have?,0
When did John Jenkins become the president of Notre Dame?,0
"In terms of the amount of presidents Notre Dame has had, where is John Jenkins on the list?",0
Who was the Notre Dame president that preceded John Jenkins?,0
Which arena was constructed under Jenkins at Notre Dame?,0
How much money was spent on enhancing Notre Dame Stadium under John Jenkins?,0
Which congregation is in charge of the Old College at Notre Dame?,0
What structure is found on the location of the original church of Father Sorin at Notre Dame?,0
In which architectural style is the Basilica of the Sacred Heart at Notre Dame made?,0
Which individual painted the inside of the Basilica of the Sacred Heart at Notre Dame?,0
In what year was the Grotto of Our Lady of Lourdes at Notre Dame constructed?,0
Which person oversaw the creation of a science hall at Notre Dame in 1883?,0
In what year did the student union building at Notre Dame get renamed to LaFortune Center?,0
"The school known as Notre Dame is known by a more lengthy name, what is it?",0
What type of institution is the Notre Dame?,0
The French words Notre Dame du Lac translate to what in English?,0
Who is the patron saint of Notre Dame?,0
How large is Notre Dame in acres?,0
What caused Notre Dame to become notable in the early 20th century?,0
Which 20th century Notre Dame football coach is most notable?,0
Which athletic association are the student athletes at Notre Dame a part of?,0
How many students at Notre Dame received the Heisman Trophy?,0
"There were multiple students from Notre Dame who entered the Pro Football Hall of Fame, how many?",0
Where among US universities does Notre Dame rank?,0
How many individual colleges are part of Notre Dame?,0
Which prize does the Architecture School at Notre Dame give out?,0
How many doctorate and masters programs are available at Notre Dame?,0
Which art museum does Notre Dame administer?,0
